id,name
,conflictos colectivos de naturaleza económica
,conflictos individuales de seguridad social
,procedimiento de ejecución
,procedimiento de huelga
,procedimiento especial colectivo
,procedimiento especial individual
,procedimiento ordinario
,procedimientos paraprocesales o voluntarios
,varios
