id,name
,administrativo
,aduanero
,ambiental
,amparo
,civil
,constitucional
,electoral
,fiscal
,internacional privado
,internacional público
,laboral
,mercantil
,minero
,penal
,propiedad intelectual
,seguridad social
,judicial
