id,name
,conciliación
,demanda
,contestación a la demanda
,periodo de pruebas
,ofrecimiento de pruebas
,admisión de pruebas
,desahogo de pruebas
,valoración de pruebas
,alegatos
,resolución
,ejecución
,amparo directo
,amparo indirecto
