id,name,city,state,law_branch,parent_id,jurisdiction
,"cuarto tribunal laboral federal de asuntos individuales en el estado de coahuila, con sede en saltillo",saltillo,coahuila,laboral,1,federal
,"quinto tribunal laboral federal de asuntos individuales en el estado de coahuila, con sede en torreón",torreón,coahuila,laboral,1,federal
,"sexto tribunal laboral federal de asuntos individuales en el estado de coahuila, con sede en torreón",torreón,coahuila,laboral,1,federal
,"séptimo tribunal laboral federal de asuntos individuales en el estado de coahuila, con sede en torreón",torreón,coahuila,laboral,1,federal
,"tribunal laboral federal de asuntos colectivos, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"primer tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"segundo tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"tercer tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"cuarto tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"quinto tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"sexto tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"séptimo tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"octavo tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"noveno tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"décimo tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"décimo primer tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"décimo segundo tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"décimo tercero tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"décimo cuarto tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"décimo quinto tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"décimo sexto tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"décimo séptimo tribunal laboral federal de asuntos individuales, con sede en la ciudad de méxico",ciudad de méxico,ciudad de méxico,laboral,1,federal
,"primer tribunal laboral federal de asuntos individuales en el estado de sonora, con sede en hermosillo",hermosillo,sonora,laboral,1,federal
,"segundo tribunal laboral federal de asuntos individuales en el estado de sonora, con sede en hermosillo",hermosillo,sonora,laboral,1,federal
,"sexto tribunal laboral federal de asuntos individuales en el estado de méxico, con sede en naucalpan",naucalpan,estado de méxico,laboral,1,federal
